year,word,frequency,topic
2011,natural,0.0023771387178223597,14
2012,natural,0.0023674938660884735,14
2013,natural,0.002419084839040124,14
2014,natural,0.0025709280381492425,14
2015,natural,0.0027868310767873326,14
2016,natural,0.002971110247503796,14
2017,natural,0.0030799899586254555,14
2000,structural,0.002366613361644522,14
2001,structural,0.0022994763852121703,14
2002,structural,0.0021976773689720017,14
2003,structural,0.002143059735917755,14
2004,structural,0.002157076833281796,14
2005,structural,0.0022778617047796573,14
2006,structural,0.0024643879944635408,14
2007,structural,0.0026997178019292343,14
2008,structural,0.0029411772961408043,14
2009,structural,0.003007635861507635,14
2010,structural,0.002873135402944277,14
2011,structural,0.0026447219807812098,14
2012,structural,0.002326589924183535,14
2013,structural,0.0020620325785847536,14
2014,structural,0.0018554112513794027,14
2015,structural,0.0016966386572062054,14
2016,structural,0.0015786283610212293,14
2017,structural,0.0015073397188137205,14
2000,relation,0.0013303812704042136,14
2001,relation,0.0013826230174283766,14
2002,relation,0.001458670402086547,14
2003,relation,0.0015360592134823783,14
2004,relation,0.0016518355614752146,14
2005,relation,0.0018396020378354766,14
2006,relation,0.0020893927789093734,14
2007,relation,0.002313718687696671,14
2008,relation,0.002422167379602419,14
2009,relation,0.002463681479934901,14
2010,relation,0.0023251622604497555,14
2011,relation,0.0022112672056983796,14
2012,relation,0.002340888656881942,14
2013,relation,0.0026508112015420325,14
2014,relation,0.003055959940764398,14
2015,relation,0.003325659180783162,14
2016,relation,0.0033404360791548095,14
2017,relation,0.0031009669002622733,14
2000,production,0.0014353071238356824,14
2001,production,0.0014877443835390946,14
2002,production,0.0015769208345921865,14
2003,production,0.0016660451151023045,14
2004,production,0.001687955624674667,14
2005,production,0.001740236665842484,14
2006,production,0.0018606321430146332,14
2007,production,0.002031627363684408,14
2008,production,0.0022347114310081123,14
2009,production,0.002348258356453102,14
2010,production,0.0023535422564648057,14
2011,production,0.00236291963413799,14
2012,production,0.002348727599901126,14
2013,production,0.0024886600369864527,14
2014,production,0.002759288294811234,14
2015,production,0.0029699886861009822,14
2016,production,0.003008374840831316,14
2017,production,0.0029452930089652746,14
2000,distributional,0.0018946186703343284,14
2001,distributional,0.0020217510269940546,14
2002,distributional,0.0021330385590991245,14
2003,distributional,0.0021872885421361284,14
2004,distributional,0.0021100015926032996,14
2005,distributional,0.001996879021982732,14
2006,distributional,0.0018896870486532586,14
2007,distributional,0.0018385347289870335,14
2008,distributional,0.0017641220053928174,14
2009,distributional,0.001719939552013162,14
2010,distributional,0.0017273660534207324,14
2011,distributional,0.0017913188954001929,14
2012,distributional,0.0019242733786509047,14
2013,distributional,0.002097846065388625,14
2014,distributional,0.0023920376637248833,14
2015,distributional,0.002813735519052425,14
2016,distributional,0.0033221290016400558,14
2017,distributional,0.003646824170723896,14
2000,ambiguity,0.002207097010566056,14
2001,ambiguity,0.0021796649772023394,14
2002,ambiguity,0.0021889768158243885,14
2003,ambiguity,0.0022441798612849134,14
2004,ambiguity,0.0023368979297448468,14
2005,ambiguity,0.002531250250905774,14
2006,ambiguity,0.0025803618378054173,14
2007,ambiguity,0.002354039006126125,14
2008,ambiguity,0.0021684647312138934,14
2009,ambiguity,0.002095843326931843,14
2010,ambiguity,0.002098625009362038,14
2011,ambiguity,0.0022146947715744165,14
2012,ambiguity,0.002318066330436975,14
2013,ambiguity,0.0023608105193365253,14
2014,ambiguity,0.001974821200733109,14
2015,ambiguity,0.0016152949779526249,14
2016,ambiguity,0.0013963577458225547,14
2017,ambiguity,0.001272734812270687,14
2000,linguistics,0.0015909058149599204,14
2001,linguistics,0.001645127123851073,14
2002,linguistics,0.0017216363941561256,14
2003,linguistics,0.0018092921103707695,14
2004,linguistics,0.0018987547103701853,14
2005,linguistics,0.0019724836960491607,14
2006,linguistics,0.0020258603100564688,14
2007,linguistics,0.0020632478099190514,14
2008,linguistics,0.002077208749629566,14
2009,linguistics,0.002078025343795941,14
2010,linguistics,0.002087881930125329,14
2011,linguistics,0.0021319889171377664,14
2012,linguistics,0.0022280779704958137,14
2013,linguistics,0.0023590709008265228,14
2014,linguistics,0.0024853907144223317,14
2015,linguistics,0.002563948522679233,14
2016,linguistics,0.002618266244792757,14
2017,linguistics,0.002650247717472865,14
2000,length,0.002103907118845382,14
2001,length,0.0021895515524748776,14
2002,length,0.002268247958778504,14
2003,length,0.0022622537491949913,14
2004,length,0.002208996433328115,14
2005,length,0.0021679272251987074,14
2006,length,0.0021002706665826515,14
2007,length,0.002016410373142121,14
2008,length,0.001893329749502882,14
2009,length,0.0017526788955707813,14
2010,length,0.0016622948154337424,14
2011,length,0.0016436454203317434,14
2012,length,0.0017032437358896848,14
2013,length,0.0018216827297275525,14
2014,length,0.002013666576813738,14
2015,length,0.0022702255383138074,14
2016,length,0.0025467464968048073,14
2017,length,0.0027506487045320578,14
2000,learner,0.002886994019614245,14
2001,learner,0.00264622434947202,14
2002,learner,0.0023284763140329926,14
2003,learner,0.0020024770927855643,14
2004,learner,0.0017572203353736658,14
2005,learner,0.0015876049719341144,14
2006,learner,0.0015213470036234615,14
2007,learner,0.0015117079545985427,14
2008,learner,0.0015583218725511443,14
2009,learner,0.001667545920140324,14
2010,learner,0.0018185420083281017,14
2011,learner,0.0019294262073024223,14
2012,learner,0.001982889284133901,14
2013,learner,0.0020420376662097658,14
2014,learner,0.0021530729560324544,14
2015,learner,0.0022977430091225075,14
2016,learner,0.002406395346446548,14
2017,learner,0.0024448865480476653,14
2000,semantics,0.0015284621347420755,14
2001,semantics,0.0015856549357050704,14
2002,semantics,0.001657291432785825,14
2003,semantics,0.0016888917372934343,14
2004,semantics,0.0017081127254633627,14
2005,semantics,0.0017362395042459927,14
2006,semantics,0.0017622838390962054,14
2007,semantics,0.0017825893025852045,14
2008,semantics,0.0018237663221670262,14
2009,semantics,0.0018912543513924026,14
2010,semantics,0.0019548307227021497,14
2011,semantics,0.0020202497940640055,14
2012,semantics,0.002094023745854348,14
2013,semantics,0.0022278623388023227,14
2014,semantics,0.0023997217613491127,14
2015,semantics,0.0025189103527619335,14
2016,semantics,0.002552319474742601,14
2017,semantics,0.0025488049534701535,14
2000,constituent,0.0023901526177826015,14
2001,constituent,0.002381331492606262,14
2002,constituent,0.0023385667081628177,14
2003,constituent,0.0023199798036610624,14
2004,constituent,0.0023129047989438674,14
2005,constituent,0.002291084871693183,14
2006,constituent,0.0022737744035103225,14
2007,constituent,0.0023075121753816275,14
2008,constituent,0.0020591645310502923,14
2009,constituent,0.0018439912281620959,14
2010,constituent,0.0018113758242568044,14
2011,constituent,0.0019124641897383238,14
2012,constituent,0.001828220915764804,14
2013,constituent,0.0016213180459409954,14
2014,constituent,0.0015335857940336854,14
2015,constituent,0.001451216188136528,14
2016,constituent,0.0012507970916941261,14
2017,constituent,0.001124811486758458,14
2000,referent,0.0013717703767514413,14
2001,referent,0.001441249599959495,14
2002,referent,0.0014967891289594966,14
2003,referent,0.0015367704636090255,14
2004,referent,0.0016921299077476914,14
2005,referent,0.0020844122983528497,14
2006,referent,0.0028532360373502903,14
2007,referent,0.0036548387517929834,14
2008,referent,0.0034492835387756053,14
2009,referent,0.00301511169134587,14
2010,referent,0.002488365460431205,14
2011,referent,0.0019036348882378322,14
2012,referent,0.0015017378427017462,14
2013,referent,0.0012737579544511773,14
2014,referent,0.0011542782915574391,14
2015,referent,0.001060934763554976,14
2016,referent,0.0009651513831175749,14
2017,referent,0.0009148623548824255,14
2000,parsing,0.003160506221647833,14
2001,parsing,0.0029253735556738227,14
2002,parsing,0.002572978343937117,14
2003,parsing,0.002284192351939676,14
2004,parsing,0.002092374835681488,14
2005,parsing,0.001998961449844022,14
2006,parsing,0.0019589171128982117,14
2007,parsing,0.0019626746484337487,14
2008,parsing,0.0019636414317087164,14
2009,parsing,0.0018807566679375826,14
2010,parsing,0.001697817113641161,14
2011,parsing,0.0015175968630441452,14
2012,parsing,0.001368602665198294,14
2013,parsing,0.001291044506077838,14
2014,parsing,0.0012575532917849506,14
2015,parsing,0.001214711145135605,14
2016,parsing,0.001166096286180613,14
2017,parsing,0.0011267785064923168,14
2000,statistical,0.001853019860741335,14
2001,statistical,0.0018607036223495968,14
2002,statistical,0.0018782483739132848,14
2003,statistical,0.0019270486867414176,14
2004,statistical,0.0020221974127268534,14
2005,statistical,0.0020962486217444357,14
2006,statistical,0.0021658704630044667,14
2007,statistical,0.0021830591180207813,14
2008,statistical,0.002137648470663567,14
2009,statistical,0.0020368461661764486,14
2010,statistical,0.0019246600805683715,14
2011,statistical,0.0018363142377892136,14
2012,statistical,0.0017265435779220014,14
2013,statistical,0.0016248375198381264,14
2014,statistical,0.0015270822158980897,14
2015,statistical,0.0014191502850056754,14
2016,statistical,0.0013265885270056666,14
2017,statistical,0.0012743022971076945,14
2000,final,0.0021106941742783302,14
2001,final,0.0022648125353657723,14
2002,final,0.002504922928287745,14
2003,final,0.0027117016619915314,14
2004,final,0.002754507221558499,14
2005,final,0.0025417394897990155,14
2006,final,0.002186880804248072,14
2007,final,0.0018557637591861919,14
2008,final,0.0015978683621452403,14
2009,final,0.0014071031564429892,14
2010,final,0.001289706169634304,14
2011,final,0.0012429258320927473,14
2012,final,0.0012488582840446678,14
2013,final,0.0012934450280064171,14
2014,final,0.0013509897537277984,14
2015,final,0.0014066770892649369,14
2016,final,0.0014319418396859169,14
2017,final,0.0014265890433307852,14
2000,ambiguous,0.0015624269306218437,14
2001,ambiguous,0.0015908783021436304,14
